question,answer,category
How to pronounce k l m n o,kah ell ehm ehn oh,pronunciation
How to pronounce p q r s t,peh keoo (like KEE with rounded lips) ehr ess teh,pronunciation
How to pronounce u v w x y z,eew veh doobluh-veh eeks ee-grehk zehd,pronunciation
When is G pronounced softly 'zsh' vs hard 'ghu'?,'ge' and 'gi' are soft; 'ga' and 'go' and 'gu' have the hard g sound. But this will change some if accents are added on the vowels.,pronunciation
When is J pronounced softly 'zsh' vs hard 'ghu'?,J is always pronounced as a soft sound.,pronunciation
What is this called: ç?,C cédille,pronunciation
How do you pronounce 'ce' and 'ci'?,The C here is soft like S; to make it sound harder like K you write 'cue' + 'cui',pronunciation
How do you pronounce 'ca' and co' and 'cu'?,The C here is hard like K; to make it sound soft like S you use C cédille ...'ça' + 'ço' + 'çu',pronunciation
When is a D pronounced like a T?,when you are using a liaison and the end of the first word is D then it becomes a T sound (e.g. un grand architecte is pronounced 'ehn-gran-tar-shee-techkt'),pronunciation
How do you prounounce 'h' at the beginning of a word?,It's totally silent and you totally ignore it. This means that if the second word in the letter is a vowel - then you may need to use a liason to connect.,pronunciation
How do you pronounce 'r' at end of a word?,light 'gh' at back of throat - put tongue at the top of back of mouth and blow air across it almost like a hiss (e.g. noir + catre + etre) - it's more like a rolling g instead of a rolling r,pronunciation
How to you pronounce 's' at the end of word? what about 'se'?,if just one 's' then it is totally silent; but if an e follows the s 'se' (like francaise) then it makes a z sound,pronunciation
What's the difference in pronunciation between u and û?,no difference in pronunciation but it changes the meaning of the word in writing,pronunciation
How do you know whether or not to pronounce the 'e' at the end of a word?,you never pronounce an 'e' (without accent) if it's at the end of a word; if the e has an accent (e.g. é) then you pronounce it as 'ay' regardless of where it is in the word,pronunciation
How do you pronounce le métro odéon?,luh-may-tro-da-yon'; everything flows together and é is pronounced 'ay' instead of 'uh',pronunciation
How do you know whether or not to pronounce a consonant at the end of a word?,1)DPST ('DePoSiTo') never pronounce these consonants at the end of a word - but pronounce them lightly if followed by 'e'; 2) LCFR ('lucifer') are the only four consonants that are pronounced when at the end of a word (e.g. aérobic) OR if at the end and followed only by an 'e' (e.g. livre) - otherwise the final consonants (regardless of if they are followed by an 'e') are not pronounced unless feminine adjective,pronunciation
Explain pronunciation of feminine adjectives,the end consonant (regardless of if they are followed by an 'e' and regardless of whether or not LCFR) will be pronounced if it is the female version of an adjective (e.g. cuit is masculine and pronounced 'quee' while cuite is feminine and pronounced 'queet'); but it's a light touch on the consonant...it's not hard or heavy,pronunciation
What is the name of this character and how is it pronounced? é,L'accent aigu (acute accent) sounds like 'ay' instead of a regular e which sounds like 'uh',pronunciation
What is the name of this character and how is it pronounced? è,L'accent grave (grave accent) is pronounced exactly the same as ê... sounds like a light 'eh' sound with open mouth,pronunciation
What is the name of this character and how is it pronounced? ê,L'accent circonflexe (circumflex) is pronounced exactly the same as è... sounds like a light 'eh' sound with open mouth,pronunciation
How do you pronounce Zoe v Zoé?,'zo' v 'zo-ee',pronunciation
How do you pronounce 'll' in french and what are the two exceptions?,ll is pronounced like Y (e.g. fille = 'feey' and famille = 'fa-meey'); the two exceptions are mille ('mil') and ville ('vil') which are pronounced like L,pronunciation
When you are spelling a word out loud how to you say two L or two O?,deux L + deux O (duh-zoo because liason),pronunciation
How does the pronunciation of adjectives change as the noun changes gender and number?,general rules for spelling: add 'e' for feminine nouns + add 's' for masculine plural + add 'es' for feminine plural; the pronunciation result is that any final consonants are not pronounced in the masculine form but are pronounced in the feminine form; no change in pronunciation from singular to plural - sounds exactly the same regardless of added 's' and 'es',pronunciation
Pronounce petit (masc singular) + petite (fem singular) + petits (masc plural) + petites (fem plural),'puh-tee' + 'puh-teet' + 'puh-tee' + 'puh-teet',pronunciation
When do adjectives have the same spelling and pronunciation for masculine and feminine and plural?,generally any adjectives that ends in an 's' or an 'x',pronunciation
How do you pronounce 'Je viens de'?,'juh-vee-yun-duh'; the two vowels make two separate sounds,vocabulary
Explain how academic disciplines are pronounced.,They can be spelled and spoken with full greek ending (e.g. sociology + philosophy + physiology) but generally they are spoken and written as socio + philo + physio etc.,vocabulary
yes / no,oui / non,vocabulary
Excuse me,Excusez-moi,vocabulary
How do you make a noun plural?,generally just add 's' but don't pronounce it - does not impact pronunciation; there are only a few exceptions (for example sometimes you add x like un bateau changes to des bateaux),vocabulary
thank you / you're welcome,merci / de rien (literally it's nothing) 'duh-rian',vocabulary
ok / alright / ok? / do you agree?,d'accord / d'accord? ('duh-cor'),conversation
How do you say ___ in french?,Comment on dit ___ en francais? ('co-mun-dee'),conversation
How do you write ___? / How is it written?,Comment ça s'écrit ___? (comm-on-sa-say-creet) / Ca s'écrit comment? (sa-say-creet),conversation
How do you pronounce ___?,Comment ça se pronounce?,conversation
What do you mean?,C'est à dire?,conversation
What does it mean? / It means...,Qu'est-ce qu ça veut dire? (kes-kuh-sa-voo-deer) / ça signifie...,conversation
I do not understand.,Je ne comprends pas (note: je sounds like "juh" not "jee)",conversation
I don't know.,Je ne sais pas.; pronounced 'shay-pa' in paris - very short and common,conversation
Can you repeat? / Repeat please.,Est-ce que vous pouvez répéter? / Répétez s'il vous plaît.; informal: Est-ce que tu peux répéter? / Répètes s'il te plaît.,conversation
What is this and how do you pronounce it? Est-ce que,this is the beginning of a yes/no question...it is not asking how or what; The whole thing is pronounced 'ssss kuh' - the s sound is long at the beginning.; This is a super common / less formal way to ask a question. If you want to speak in higher / more formal french then use the reversal of subject and verb (plus upward intonation) to pose the question - instead of Est-ce que,conversation
That makes sense.,C'est logique.; or you can say: ça a du sens.,conversation
It's helpful.,C'est util.,conversation
Was I right/correct?,Est-ce que j'avais bon?,conversation
I hope you are doing well (for emails/texts),J'espère que tu vas bien.,conversation
How do you ask what is something?,Qu'est-ce que ...?; pronounced 'kes-kuh',conversation
How do you ask which is something?,Quel ...?; pronounced 'kel',conversation
How do you ask how is something?,Comment ...; pronounced 'como',conversation
How are you? (informal),Comment vas tu? / Comment ça va?,conversation
How are you doing? (formal),Comment allez vous?,conversation
What's the different between 'Comment allez vous?' and 'Vous allez bien?'?,They mean the same thing but the former uses the interrogative form (so no upward intonation required - it's obviously a question); the latter uses the affirmative form (just a statement) so you must say with upward intonation to make it sound like a question.; The latter (reversal of subject verb) is more formal / 'nicer'.,conversation
What's up?,Quoi de neuf? (remember 'de' is pronounced 'duh'),conversation
It's ok / it's going alright,ça va! + ca va? (sa-va)...it is used as both question (is it going ok?) and response (it's going ok); the literal translation is "it goes" and it is conjugated in that way e.g. il/elle/on va,conversation
How was it? (informal),Ça a été? (sa-EH-tay) ...really common and shortened; there is an implied 'bien' in there; the full formal version might be "(Est-ce que) ça a (bien) été ?",conversation
please (formal and informal),s'il te plaît (when you are familiar) / s'il vous plaît (when you are unfamiliar) = S.V.P.,conversation
a greeting that is strictly formal and a greeting that is strictly informal, enchanté (pleased to meet you only when formal) + salut (for hello only when familiar),conversation
What do you say when someone sneezes?,á tes souhaits (a-te-sway) ...familiar / á vos souhaits ...formal,conversation
No problem.,pas de probléme,conversation
Hold on (when putting someone on hold),Ne quittez pa ('nuh-key-tay-pa'); literally you (formal) do not leave; the verb is quitter,conversation
It tastes good.,C'est bon.,conversation
It was good.,c'etait bien,conversation
so-so,comme si comme ça,conversation
So...,donc; watch out because donk means fuck or damn,conversation
and you (informal)?,et toi?,conversation
Have a nice day.,bonne journée,conversation
Have a good afternoon!,bon aprés-midi,conversation
Have a good evening!,bonne soirée,conversation
Good night!,bonne nuit,conversation
Have a good weekend!,bonne week-end! ...'fin de semaine' means Friday - not weekend,conversation
See you next week!,a la semaine prochaine,conversation
that last week / the previous week,la semaine dernière / la semaine précédente; you could make the latter plural: les semaines précedentes - the previous weeks,conversation
Goodbye,au revoir (in paris this is pronounced as two syllables 'ah-voi'),conversation
Until tomorrow!,à demain ('ah-doo-ma'),conversation
I have a health issue.,J'ai des problèmes de santé.,conversation
It is / They are,C'est / Ce sont,vocabulary
It is not / They are not,Ce n'est pas / Ce ne sont pas,vocabulary
That's all. / It's finished.,C'est tout ('too'). / C'est fini.,vocabulary
How do you change this to be a fully interogative question: Il est bon le poulet?,Est-ce qu'il est bon le poulet?; note how the QUE and subject IL get pushed together with apostrophe but don't try to make them sound like two sounds - push all the sounds together and ignore the apostrophe,conversation
What are you doing this evening? (formal and informal),Qu'est-ce que vous faites / tu fais su soir?,conversation
You do what this evening? (formal and informal),Vous faites / Tu fais quoi su soir?,conversation
Do you want to eat? (formal and informal),Ça vous / te ('tuh') dit ('dee') DE manger?; This is very idiomatic french. It doesn't translate exactly but it means Do you want to do + DE + INFINITIVE.; A server might ask 'Ça vous dit?' to take your order.,conversation
Do you want to go to the movies? (formal and informal),Ça vous/ te ('tuh') dit ('dee') d'aller au cinéma?; Note how the DE transformed to D' because the infinitive verb starts with a vowel.,conversation
Do you like it? (idiomatic phrase that might be used by venders when presenting an item).,Ça vous plaît?,conversation
You come with us? (formal and informal),Vous venez / Tu viens AVEC nous?,conversation
What do you (formal) do for a living?,Qu'est-ce que vous faites dans la vie?,conversation
What is your (informal) profession?,Quelle est ton profession?,conversation
What color is the dress?,DE quelle couleur est la robe?; Why do we use 'de quel..' instead of just 'quel..' here? - similar to English because if we ask the question properly in English it becomes 'What is the color OF the dress?'  - the presence of that preposition in English indicates that we need to use DE QUEL... in French.,conversation
What do you study? (formal and informal),Qu'est-ce que vous étudiez / tu étudie?; tu étudie is pronounced 'too-uh-tood' ...present singular verb forms are usually short with downward intonation,conversation
What is ...? / What is it?,Qu'est-ce que ...? (followed by subject then verb) / Qu'est-ce que c'est? ('kes-kuh-say') ...literally 'what it is',conversation
Which is ...?,Quelle est ...? ('kel-ay-...'),conversation
What kind/type is it?,Quel genre est-il? ('kel-jon-ray-til')...e.g. type of car or dance or music,conversation
What is your name? (formal and informal),Quel est votre/ton nom / prénom?,conversation
How do you write your name? (formal and informal),Comment s'écrit votre/ton nom?,conversation
What is your age?,Quel est votre/ton âge?,conversation
Where is ...? / Where is it?,Où est ...? ('ooh-ay-...') / Où est-il? ('ooh-ay-eel'),conversation
Who is ...? / Who is it?,Qui est ...? ('kee-ah-...')/ Qu'est-ce? ('kes'),conversation
When is ...? / When is it?,Quand est ...? ('kon-ah-...')/ Quand est-ce? ('kon-tes'),conversation
How much is X? / How much is it?,Combien coûte ...? ('kom-bien-coot') / Combien ça coûte? ('kom-bien-sa-coot'),conversation
How much does it cost?,Combien ça coûte?,conversation
It costs...,ça coûte ...,conversation
I want to introduce Anna.,Je veux présenter Anna.,conversation
Why?,Pourquoi? ('poor-kwa'),conversation
because,parce que ('par-se-kuh'),vocabulary
for example,par exemple ('par-ex-ompl'),vocabulary
also,aussi ('osi'),vocabulary
a way (of doing something),une façon / une manière,vocabulary
once,une fois,vocabulary
only,seulement / uniquement,vocabulary
alone,seul,vocabulary
already,déja,vocabulary
entirely,entièrement,vocabulary
maybe,peut-être ('poo-eht'),vocabulary
rarely,rarement,vocabulary
frequently,souvent,vocabulary
always,toujours,vocabulary
never,jamais,vocabulary
soon,bientôt ('beey-en-toe'),vocabulary
right away / right now,tout suit,vocabulary
everyone,tout le monde,vocabulary
everywhere,n'importe où,vocabulary
somewhere,quelque part ...some location is the literal translation,vocabulary
sometimes,quelques fois,vocabulary
someone,quelqu'un (masculine) or quelqu'une (feminine),vocabulary
nothing else,rein d'autre ('ron-doot'),vocabulary
a lot more; specify the pronunciation,beaucoup plus ('ploos'),vocabulary
too much,trop / beaucoup trop ('trow'),vocabulary
the most;specify the pronunciation,le plus ('ploos'),vocabulary
more than X; specify the pronunciation,plus que ('ploos-kuh'); the S is pronounced because we are dealing with a positive quantity,vocabulary
no more; specify the pronunciation,non plus ('pa-ploo'); the S is silent because we are dealing with a negative/lack of quantity,vocabulary
Given: I would like more wine. - Is the S in plus pronounced? Why?,Je voudrais plus de vin; S in plus is pronounced because it relates to a noun with a positive quantity.,pronunciation
Given: There is no more school. - Is the S in plus pronounced? Why?,Il n'y a plus d'école.; The S is NOT pronounced because it relates to a noun with a negative/lack of quantity.,pronunciation
Given: You are more intelligent than an apple. - Is the S in plus pronounced? Why?,Tu es plus intelligent que une pomme.; S in plus is pronounced because it precedes an adjective that starts with a vowel or a silent h followed by vowel.,pronunciation
Given: I am taller than you. - Is the S in plus pronounced? Why?,Je suis plus grande que toi.; S in plus is NOTpronounced because it precedes an adjective that DOES NOT start with a vowel or a silent h followed by vowel.,pronunciation
How do you pronounce "3 + 4 = 7"?,trois plus quatre égal sept ('twa-ploos-cat-ree-gal-set'); the S is pronounced because it is being used as a mathematical sign,vocabulary
I an stronger than you.,Je suis plus fort que toi.,vocabulary
better / best,meilleur / mieux,vocabulary
about,à propos ...this works most of the time - it's not the best but it works as a beginner,vocabulary
aside from / exluding,à part,vocabulary
close to,prés de,vocabulary
here,ici ('eecee'),vocabulary
in (inside of),dans ...locaton prepositions: http://andrea-enroute.blogspot.com/2013/10/les-prepositions-de-lieu.html,vocabulary
in front of / in front of the table,devant ("devon") / devant la table; no DE,vocabulary
behind / behind the table,derriér / derriér la table,vocabulary
on top of,sur (pronounced with the high-pitched 'ooouh' that you make by first singing 'eeee' and then rounding the lips; and then there is a soft but guteral 'gch' sound at the end for the 'r'),vocabulary
The apple is on the table. It's 'on top'.,La pomme est sur la table. C'est dessus.,vocabulary
below/under,sous (pronounced with the low-pitched 'oo' like being punched in the stomach; no ending consonant or sound),vocabulary
The apple is under the table. It's 'underneath'.,La pomme est sous la table. C'est dessous.,vocabulary
between,entre,vocabulary
next to,à coté de,vocabulary
next to the table / next to the sneakers,a côte de la table / a côte des baskets; de + les = des,vocabulary
It's nearby. / It's far away.,C'est prés. / C'est loin.,vocabulary
What are the different words for 'of' based on gender/situation/etc?,When you are talking about a specific person (e.g. of Mr. X / of Suzanne) then you ALWAYS use de (if name starts with consonant regardless of gender) or d' (if name starts with vowel or H regardless of gender); If not a specific person then...du (de + le) + de la + d' (de + vowel or H regardless of gender) + des (de + les); Note that 'des' can mean de + les (of the ...something plural) or simply des (some of  ...something plural),vocabulary
in this case,dans ce cas ('don-suh-ka'),vocabulary
most of the time,la plupart du temps,vocabulary
far from,loin de,vocabulary
to the right of,à droit de,vocabulary
to the left of,à gauche de,vocabulary
at the beginning,au début,vocabulary
at the end,à la fin; the noun for ending is 'la fin' but if you are talking about the ending of a verb (the conjugated part) then use 'terminaison',vocabulary
going through, passé par,vocabulary
at the top,en haut,vocabulary
too cold,trop froid ('trow fwa'),vocabulary
too hot, trop chaud ('trow show'),vocabulary
open,ouvert ('ooh-ver'),vocabulary
closed,fermé ('fer-meh'),vocabulary
before / after,avant / après,vocabulary
now,maintenant ('mont-a-no') ...three syllables,vocabulary
today,aujourd'hui ('on-jour-dwi'),vocabulary
tomorrow / tomorrow morning,demain ('duh-ma') / demain matin ('duh-ma-ma-ton'),vocabulary
yesterday,heir ('ee-air'),vocabulary
for,pour; generally this is true but there are some situations where 'pour' is not the correct word to use when replacing 'for',vocabulary
during,pendant,vocabulary
since - an action that started in the past and continues to present,depuis ('duh-pwi'),vocabulary
When do you use 'pour' vs 'pendant' vs 'depuis'?,Generally you can always replace the word 'for' with 'pour'. One exception is when you talk about doing something for a length of time (e.g. for 2 weeks) - in the latter case you use either pendant (e.g. Je l'ai fait pendant 2 semainese = I did it for 2 weeks.) OR dupuis (e.g. Je le fais depuis 2 semaines.= I have been doing it for/since 2 weeks.); General rule: Use 'depuis' (like since) with present tense. Use 'pendant' (like for some length of time) with past tense.,vocabulary
I have been here for 3 days.,Je suis là depuis trois jours.; use depuis in this case... like since because the time frame continues to the present,conversation
How long have you (formal) studied french?,Depuis quand ètudiez-vous le francais?; use depuis in this case... like since because the time frame continues to the present,conversation
I've danced since I was 3 years old.,Je danse depuis que j'ai 3 ans.,conversation
for - the duration of some time frame either past or future,pendant; use this word instead of depuis when you are talking about some time frame that has no relation to the present; general rule: use present tense with 'depuis' and past tense with 'pendant',vocabulary
I saw a film during my stay in Paris.,J'ai vu un film pendant mon séjour à Paris.; use pendant because the time frame has no relation to the present... you can't use depuis; you also cannot use pour because the time frame is not in the future,conversation
for - the duration of some time frame strictly in the future,pour; use this sparingly it is only reserved for a time frame in the future and you can always use pendant instead of pour in the future,vocabulary
I will be in France for 5 years.,Je serai en France pour cinq ans.; you can only use pour here because the time frame is strictly in the future with no relation to the present,conversation
monday tuesday wednesday,lundi ('luhn-di') + mardi ('MAR-di' ...remember to let the r catch in the throat a bit) + mercredi ('MEH-cri-di'),vocabulary
thursday friday saturday sunday,jeudi ('jooh-di' ...the j is really soft) + vendredi ('VON-dra-di') + samedi ('sam-di') + dimanche ('DEE-monsh'),vocabulary
january february march,janvier février mars,vocabulary
april may june,avril mai juin,vocabulary
july august september,juiliet + août ('oot') + septembre,vocabulary
october november december,octobre novembre décembre,vocabulary
March 1,le premiere mars; the 1st of a month is always spoken as 'premiere' - the other dates in a month use numbers (e.g. deux); dates always must have an article in front and they are always masculine,vocabulary
Friday December 2,vendredi 2 décembre; !! no 'le' in front of the date when you give the day of the week too,vocabulary
the day,le jour,vocabulary
the week,la semaine,vocabulary
the weekend,le week-end,vocabulary
this week,cette semaine,vocabulary
the month,le mois ('mwa'),vocabulary
in a few months,dans quelques mois,vocabulary
the word,le mot ('mow'),vocabulary
the year,it's feminine; l'année (une année),vocabulary
the winter,l'hiver,vocabulary
the spring,le printemps,vocabulary
the summer,l'été,vocabulary
the autumn,l'automne,vocabulary
the north,le nord,vobulary
the south,le sud,vobulary
the east,l'est,vobulary
the west,l'ouest,vobulary
indefinite articles for masculine + feminine + plural,un (masculine..make a smile when you speak it like 'aahn') + une (feminine...make a closed o-shape with mouth like 'oo-yn' and really pronounce the n separately it's almost like two syllables...like bier in german) + des (for all plurals regardless of gender; pronounced 'day'),vocabulary
femine masculine plural,féminin masculin pluriel,vocabulary
What are some ways to determine if a noun is féminin?,1) ends with 'e' 2) ends with 'tion'; add more from private lessons,vocabulary
When should there be an apostrophe instead of spelling out le/la?,when the noun starts with a vowel OR when the second letter is a vowel and the first letter is not pronouned (e.g. h); l'académie instead of la académie; l'ordinateur instead of le ordinateur; l'hôtel,vocabulary
Aside from a definite article (the) when do you use le/la/l'?,These are also the pronouns for ils/elle when he/she/it is the direct object of a verb; e.g. I read it. = Je le lis. (I + it masculine + read conjugated in present tense),vocabulary
the vowel,__ voyelle,vocabulary
When should you use a liason 'z' ('lez') instead of ('les')?,when the noun is a vowel; e.g. write les ordinateurs but pronounce it 'lez-or-din-at-ors',vocabulary
the thing,la chose ('shows'),vocabulary
things to do,des choses a faire,vocabulary
common word for work,le travail ...in the SnowWhite song 'off to work we go',vocabulary
a job,un travail / un job,vocabulary
common word for going to sleep - like a child,dodo,vocabulary
common saying that means all I do is work and sleep - no fun,C'est métro boulot dodo.,vocabulary
a bicycle,un vélo,vocabulary
a car,une voiture,vocabulary
a bus,un bus,vocabulary
a train,un train (pronounced 'tron' and the r rolls a bit),vocabulary
public transport,les transports en commun,vocabulary
a boat,un bateau,vocabulary
an airplane,un avion,vocabulary
a taxi,un taxi,vocabulary
a restaurant,un restaurant,vocabulary
a customer (at a restaurant or store),le client,vocabulary
a salesperson,un vendeur ('von-dur') / une vendeuse ('von-dooz'),vocabulary
a cafe / a brasserie / a bar,un café / une brasserie / un bar,vocabulary
a bakery / a baker (masculine + feminine),une boulangerie / un boulanger + une boulongère,vocabulary
a cobbler store / a cobbler person (masculine + feminine),une cordonnerie / un cordonnier + une cordonnière,vocabulary
We go to the bakery.,On va à la boulangerie.; Use à la OR au (à + le) OR aux (à + les) when you are talking about a place/location.,vocabulary
We go to the baker (to see the baker).,On va chez boulanger.; Use chez when you are talking about person/people.,vocabulary
a pharmacy,une pharmacie,vocabulary
a hospital,un hôpital,vocabulary
a hotel,un hôtel,vocabulary
a movie theater,un cinéma,vocabulary
the bookstore,la librairie,vocabulary
the library,la bibliothèque,vocabulary
an appointment,un rendez-vous,vocabulary
red,rouge,vocabulary
orange,orange ('or-onj'),vocabulary
yellow,jaune ('joon'),vocabulary
green,vert ('ver'),vocabulary
blue,bleu ('blu'),vocabulary
purple,violet ('vee-oh-lay'),vocabulary
brown,marron ('meh-ron'),vocabulary
black,noir,vocabulary
white,blanc ('blon'),vocabulary
pink,rose ('roos'),vocabulary
the sky,le ciel,vocabulary
the sea,la mer,vocabulary
the sand,le sable,vocabulary
I think..,je pense,conversation
What is your name? (informal),Comment tu t'appelles?,conversation
What is your name? (formal),Comment vous vous appelez?,conversation
My name is x.,Je m'appelle x. OR...informally: Moi c'est x.,conversation
But my friends call me Chris.,Mais mes amis m'appellent Chris.,conversation
I am x years old.,J'ai x ans.; The number + ans is spoken very quickly; it's also fully linked together (e.g. 44 ans = 'catr-von-ca-TRON' where the end of the number has a liason with ans); ans is a very quick nasal sound 'on' on the end,conversation
How do you pronounce when saying you or someone's age?,there is always a linking between number and 'ans'; 'ans' is pronounced 'oh' super nasal,conversation
I am American.,Je suis Américain (m) / Américainne (f).; the 'n' is pronounced very lightly and only in the feminine version,conversation
You are French(f).,Tu es francais (m) / francaise (f).; masc pronounced 'fran-say'; fem pronounced 'fran-seZ',conversation
How is the name of a language related to nationality?,There are masculine and feminine versions of every nationality. The language is always the masculine version.; e.g. Il est allemand. Elle est allemande. Elle parle allemand.,conversation
I live in New York.,J'habite à New York.,conversation
I am a software engineer.,Je suis Développeur + Je suis software injènieure,conversation
What is the formal name for a software engineer - if you write it?,Ingénieur en développement logiciel or Ingénieur en génie logiciel,conversation
with / without,avec / sans, vocabulary
a noun / a verb, un nom / un verbe,vocabulary
conjugate 'to be' (a profession or a nationality),être: je suis + tu es ('ay') + il/elle/on est ('ay') + nous sommes + vous êtes ('vooz-eht')+ ils/elles sont ('ssson'),verbs
When is est (conjugated 'to be') pronounced as 'ayt' instead of 'ay'?,when the adjective following it starts with a vowel; e.g. Ils est intelligente; If the t in est was not pronounced is would be two vowels together and that is not how french is spoken; But otherwise the t at the end of est is never pronounced.,verbs
When is et (and) pronounced as 'ayt' instead of 'ay'?,Never. Never make the t sound - even when the next word starts with a vowel; e.g. Elle est grande et intelligente - the pronounciation of et does not change.,verbs
conjugate 'to have',avoir: j'ai + tu as + il/elle/on a + nous avons + vous avez + ils/elles ont,verbs
What is the only verb ending in -er that is irregular?,aller (to go),verbs
How do you conjugate regular -er verbs in present tense?,endings: je -e (silent means only pronouce the base without an ending) + tu -es (silent) + il/elle/on -e (silent) + nous -ons (pronounced) + vous -ez (pronounced like 'ay') + ils/elles -ent (silent),verbs
How do you remember the ending for nous in regular -er verbs?,the ending for nous is -ons ('ohn' very nasal without much of an 'n' sound on the end); this is the same sound as the on in il/elle/on ..when we use the casual form of 'we' when speaking,verbs
What is the intonation on the conjugated forms for first person singular (je)?,the intonation is always downward and shortened; e.g. je travaille sounds like 'ju tru-vay' not 'ju trav-a-ye'.,verbs
When do you need to use a liason between subject and verb?,If the verb starts with a vowel (or 'ha..' because h is silent) then you must use liason after nous/vous/ils/els even though the 's' at the end of those subjects is silent.,verbs
How are these pronounced differently?: on / -ont / -ons,They are pronounced exactly the same.,verbs
How are these pronounced differently?: -ez / -er / -é / -et / -ai,They are pronounced exactly the same.,verbs
conjugate 'to like',aimer: j'aime + tu aimes + il/elle/on aime + nous aimons + vous aimez + ile/elles aiment,verbs
conjugate 'to want',vouloir: je veux + tu veux + il/elle/on veut + nous voulons + vous voulez + ils/elle veulent; Note! veux and veut are NOT pronounced 'voo'; vous is pronounced 'voo'; veux and veut are pronounced like something between 'vuh' and 'voo' (same as peux) so that it is possible to distinguish them from vous,verbs
How do you pronounce... I want + I go + I see?,Je veux ('voo' but higher in the mouth similar to 'vuh') + Je vais ('vay') + Je vois ('vwa'),pronunciation
conjugate 'to go',aller: je vais + tu va + il/elle/on va + nous allons + vous allez +ils/elles vont,verbs
conjugate 'to come',venir: je vien ('vyon') + tu viens ('vyon') + il/elle/on vient ('vyon') + nous venons ('vo-non') + vous venez ('ve-nay') + ils/elles viennent ('vyen'),verbs
conjugate 'to do' / 'to make',faire: je fais + tu fais + il/elle/on fait + nous faisons + vous faites + ils/elles font,verbs
